O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem;Ano;Mês;Semana;Dia
3184;2024-09-04;CORRETIVA;507.0;507 - MegaSteel Rebobinadeira;;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR ALEX CALDEIRA MEDEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;4
3198;2024-09-06;CORRETIVA;112.0;112 - Extrusora;112 - Carnevalli monocamada;Carnevalli ;2019.0;OS GERADA AUTOMATICAMENTE POR EDILAINE PEREIRA DE JESUS MARQUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;6
3203;2024-09-06;CORRETIVA;116.0;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015.0;OS GERADA AUTOMATICAMENTE POR VINIVIUS DE FREITA LIMA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;6
3206;2024-09-07;CORRETIVA;116.0;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015.0;OS GERADA AUTOMATICAMENTE POR VINIVIUS DE FREITA LIMA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;7
3209;2024-09-08;CORRETIVA;116.0;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015.0;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;8
3212;2024-09-08;CORRETIVA;113.0;113 - Extrusora;113 - Carnevalli monocamada;Carnevalli ;2020.0;OS GERADA AUTOMATICAMENTE POR DEBORA ALVES BATISTA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;36;8
3215;2024-09-09;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR DANILO RODRIGO SANTOS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;9
3223;2024-09-09;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;9
3224;2024-09-09;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;9
3225;2024-09-09;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;9
3234;2024-09-11;CORRETIVA;118.0;118- Extrusora;118 - Carnevalli monocamada;Carnevalli ;2021.0;OS GERADA AUTOMATICAMENTE POR GABRIEL LUIZ FERREIRA DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;11
3238;2024-09-12;CORRETIVA;118.0;118- Extrusora;118 - Carnevalli monocamada;Carnevalli ;2021.0;OS GERADA AUTOMATICAMENTE POR FELIPE MORAIS JULIAO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;12
3261;2024-09-12;CORRETIVA;417.0;417 - Hece 1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;12
3262;2024-09-12;CORRETIVA;406.0;406 - Hece1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR LUCIA ALVES DE LIMA BASTO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;12
3263;2024-09-13;CORRETIVA;416.0;416 - Hece 1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR GEILDA PEREIRA DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
3264;2024-09-13;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR DANILO RODRIGO SANTOS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
3267;2024-09-13;CORRETIVA;413.0;413 - Polimaquinas;413 - Polimaquinas;POLIMAQUINAS;2017.0;OS GERADA AUTOMATICAMENTE POR RICARDO FERNANDES FELIX  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
3268;2024-09-13;CORRETIVA;413.0;413 - Polimaquinas;413 - Polimaquinas;POLIMAQUINAS;2017.0;OS GERADA AUTOMATICAMENTE POR RICARDO FERNANDES FELIX  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
3272;2024-09-13;CORRETIVA;417.0;417 - Hece 1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
3273;2024-09-13;CORRETIVA;417.0;417 - Hece 1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;9;37;13
